id	区域名称（策划看）	区域名称	区域图标	区域图标（点击后）	区域坐标x	区域坐标y	出现方式
id	cityDes	cityName	cityIcon	cityIcon1	coordinateX	coordinateY	show
number	string	number	string	string	string	string	boolean
int	string	int	string	string	string	string	boolean
1	住所	900430	icon/system/019.png	icon/system/153.png	480	444	1
2	学校	900431	icon/system/106.png	icon/system/115.png	226	386	1
3	美食街	900432	icon/system/026.png	icon/system/034.png	246	179	1
4	公园	900433	icon/system/108.png	icon/system/117.png	939	436	1
5	购物中心	900434	icon/system/107.png	icon/system/116.png	697	282	1
6	游乐场	900435	icon/system/109.png	icon/system/118.png	1050	187	0
7	步行街	900436	icon/system/110.png	icon/system/119.png	493	157	1
