id	所属外传	结局标题（策划看）	结局标题	结局内容（完成前）	结局内容（完成后）	结局CG	达成奖励	奖励图标
id	outside	titleDes	title	storyShow1	storyShow2	cg	rewardShow	bonusIcon
number	number	string	number	number	number	string	number	string
int	int	string	int	int	int	string	int	
1	1010101	十香1 结局1	910001	910002	910011	icon/cg/date_cg_42.png		
2	1010101	十香1 结局2	910003	910004	910012	icon/cg/date_cg_waizhuan_1.png		
3	1010101	十香1 结局3	910005	910006	910013	icon/cg/date_cg_43.png		
4	1010101	十香1  结局4	910007	910008	910014	icon/cg/date_cg_44.png		
5	1020101	折纸1 结局1	910016	910017	910022			
6	1020101	折纸1 结局2	910018	910019	910023			
7	1020101	折纸1 结局3	910020	910021	910024			
8	1050101	琴里1 结局1	910025	910031	910026			
9	1050101	琴里1 结局2	910027	910032	910028			
10	1050101	琴里1 结局3	910029	910033	910030			
11	1030101	四糸乃1 结局1	910055	910058	910061			
12	1030101	四糸乃1 结局2	910059	910056	910062			
13	1030101	四糸乃1 结局3	910057	910060	910063			
14	1040101	狂三1结局1						
15	1040101	狂三1结局2						
